Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,185.0,1.0,185.0,185.0,0.0,296.29999999999984,0.0,0.0,0.008874893188476562,,,,,,,,,,,,,,,,,,,,,69.28333339598498,28.116598868377025,107.6462637740672,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,250.0,2.0,65.0,250.0,0.0,101.80000000000001,0.0,0.0,6.994524002075195,,,,,,,,,,,,,,,,,,,,,39.373250200664785,17.74210839663434,65.35708836027909,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,303.0,3.0,53.0,303.0,0.0,87.0,0.0,0.0,12.691100835800171,,,,,,,,,,,,,,,,,,,,,36.08346158109142,16.529769468609558,60.10322146206527,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,351.0,4.0,48.0,351.0,0.0,72.80000000000001,0.0,0.0,17.916213989257812,,,,,,,,,,,,,,,,,,,,,30.342412865512483,14.541304575649827,52.51716121191577,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,388.0,5.0,37.0,388.0,0.0,67.9,0.0,0.0,22.037523984909058,,,,,,,,,,,,,,,,,,,,,32.04698780972902,14.063636323913249,51.651855771187485,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,423.0,6.0,35.0,423.0,0.0,52.10000000000001,0.0,0.0,26.21582317352295,,,,,,,,,,,,,,,,,,,,,24.76966516313045,12.162434589928536,40.29573118540185,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,607.0,7.0,184.0,607.0,0.0,279.49999999999994,0.0,0.0,45.73092293739319,,,,,,,,,,,,,,,,,,,,,67.38308735173209,25.321670193025025,99.54996146613641,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,647.0,8.0,40.0,647.0,0.0,67.7,0.0,0.0,50.16358923912048,,,,,,,,,,,,,,,,,,,,,31.050306532016567,15.306252372323835,50.5757077799377,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,683.0,9.0,36.0,683.0,0.0,62.7,0.0,0.0,53.963951110839844,,,,,,,,,,,,,,,,,,,,,27.426808127091945,13.822565449341628,49.35919360083519,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,844.0,10.0,161.0,844.0,0.0,268.0999999999999,0.0,0.0,71.09224534034729,,,,,,,,,,,,,,,,,,,,,71.32468093594431,27.00497585654578,99.28166543575485,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,902.0,11.0,58.0,902.0,0.0,102.9,0.0,0.0,77.26932835578918,,,,,,,,,,,,,,,,,,,,,41.61862632309207,17.343473347075093,68.7700339527292,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,947.0,12.0,45.0,947.0,0.0,77.90000000000002,0.0,0.0,82.38011002540588,,,,,,,,,,,,,,,,,,,,,32.509904802454166,15.591138815545452,57.67302868751414,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,1005.0,13.0,58.0,1005.0,0.0,85.60000000000002,0.0,0.0,88.67533731460571,,,,,,,,,,,,,,,,,,,,,34.13452849919813,15.072595588164829,57.618552609649896,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,1035.0,14.0,30.0,1035.0,0.0,53.0,0.0,0.0,91.95907402038574,,,,,,,,,,,,,,,,,,,,,24.07103194045516,13.533373724554515,43.46212025746107,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,1094.0,15.0,59.0,1094.0,0.0,91.80000000000001,0.0,0.0,98.41120672225952,,,,,,,,,,,,,,,,,,,,,38.11122690145978,16.61213768604965,59.8537083585849,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,1216.0,16.0,122.0,1216.0,0.0,186.09999999999997,0.0,0.0,111.70842957496643,,,,,,,,,,,,,,,,,,,,,55.976549009831864,23.010655623529747,86.83081373259994,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,1329.0,17.0,113.0,1329.0,0.0,182.40000000000003,0.0,0.0,123.44219970703125,,,,,,,,,,,,,,,,,,,,,59.47588478686489,21.877122876852795,84.90049725150077,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,1426.0,18.0,97.0,1426.0,0.0,150.8,0.0,0.0,134.01046633720398,,,,,,,,,,,,,,,,,,,,,49.138007821989675,22.597883732046753,81.73794595996279,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1518.0,19.0,92.0,1518.0,0.0,142.09999999999997,0.0,0.0,143.45791935920715,,,,,,,,,,,,,,,,,,,,,50.2189749112026,22.52496294560575,75.41990599660394,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1616.0,20.0,98.0,1616.0,0.0,138.1,0.0,0.0,154.1405599117279,,,,,,,,,,,,,,,,,,,,,46.328940611050854,19.658808797256,72.14456162411312,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.0,0.0,0.0,1743.0,21.0,127.0,1743.0,0.0,189.0,0.0,0.0,167.6865532398224,,,,,,,,,,,,,,,,,,,,,53.71201346123282,24.14171554920089,89.68393234062097,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.0,0.0,0.0,1816.0,22.0,73.0,1816.0,0.0,114.2,0.0,0.0,176.06465029716492,,,,,,,,,,,,,,,,,,,,,42.826406256202546,16.94541621726562,69.37059460378585,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.0,0.0,0.0,1904.0,23.0,88.0,1904.0,0.0,156.59999999999997,0.0,0.0,185.2480103969574,,,,,,,,,,,,,,,,,,,,,57.70600908269882,22.540691682162038,82.89630550731783,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.0,0.0,0.0,1942.0,24.0,38.0,1942.0,0.0,69.1,0.0,0.0,189.63836240768433,,,,,,,,,,,,,,,,,,,,,29.460582313211855,15.482593538128103,53.912719298584555,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.0,0.0,0.0,1986.0,25.0,44.0,1986.0,0.0,66.30000000000001,0.0,0.0,194.41345024108887,,,,,,,,,,,,,,,,,,,,,29.170812273061326,14.11378522735269,48.491085984982355,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.0,0.0,0.0,2015.0,26.0,29.0,2015.0,0.0,49.7,0.0,0.0,197.52368927001953,,,,,,,,,,,,,,,,,,,,,23.39479011464789,11.751178797683822,40.73618624559063,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.0,0.0,0.0,2103.0,27.0,88.0,2103.0,0.0,142.4,0.0,0.0,206.84068131446838,,,,,,,,,,,,,,,,,,,,,52.596098067887304,21.058630754601083,75.43147855099404,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.0,0.0,0.0,2146.0,28.0,43.0,2146.0,0.0,64.70000000000002,0.0,0.0,211.42658400535583,,,,,,,,,,,,,,,,,,,,,27.180447039571813,14.263302383398592,48.61615775668135,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.0,0.0,0.0,2183.0,29.0,37.0,2183.0,0.0,69.60000000000001,0.0,0.0,215.546058177948,,,,,,,,,,,,,,,,,,,,,30.07889450057779,15.086590798652102,54.5298395240066,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0,0.0,0.0,2248.0,30.0,65.0,2248.0,0.0,116.60000000000001,0.0,0.0,222.8189079761505,,,,,,,,,,,,,,,,,,,,,44.49676274426005,21.00076279114126,75.73248871725377,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,171.0,1.0,171.0,2419.0,0.0,267.49999999999994,0.0,0.0,361.53057289123535,,,,,,,,,,,,,,,,,,,,,66.17773378860323,23.966505241301963,100.75406512121675,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,221.0,2.0,50.0,2469.0,0.0,88.90000000000002,0.0,0.0,367.00621700286865,,,,,,,,,,,,,,,,,,,,,36.71110749583484,17.15280090428313,63.24993622935282,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,270.0,3.0,49.0,2518.0,0.0,78.20000000000002,0.0,0.0,372.4712324142456,,,,,,,,,,,,,,,,,,,,,34.901444736728706,14.555958715810387,54.160053717956536,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,359.0,4.0,89.0,2607.0,0.0,145.5,0.0,0.0,381.968466758728,,,,,,,,,,,,,,,,,,,,,50.09233389817417,22.217014253971026,81.50023921329422,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,478.0,5.0,119.0,2726.0,0.0,179.3,0.0,0.0,394.6363995075226,,,,,,,,,,,,,,,,,,,,,57.26676001534398,22.702584340090443,80.03697087751175,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,606.0,6.0,128.0,2854.0,0.0,199.59999999999997,0.0,0.0,407.8373284339905,,,,,,,,,,,,,,,,,,,,,58.26474847108894,22.710526854070807,90.42405930120235,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,646.0,7.0,40.0,2894.0,0.0,72.10000000000001,0.0,0.0,412.3957166671753,,,,,,,,,,,,,,,,,,,,,31.634668690897616,16.075532710413263,54.74936100951987,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,746.0,8.0,100.0,2994.0,0.0,157.7,0.0,0.0,423.18450689315796,,,,,,,,,,,,,,,,,,,,,52.66957774862411,23.49256780285551,82.010847162444,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,767.0,9.0,21.0,3015.0,0.0,35.099999999999994,0.0,0.0,425.64338302612305,,,,,,,,,,,,,,,,,,,,,18.282985929144374,9.678195150943298,30.24129395997786,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,820.0,10.0,53.0,3068.0,0.0,90.80000000000001,0.0,0.0,431.446918964386,,,,,,,,,,,,,,,,,,,,,39.18342171062081,17.369681816344958,61.47973896782336,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1.0,0.0,0.0,893.0,11.0,73.0,3141.0,0.0,123.50000000000001,0.0,0.0,439.57494854927063,,,,,,,,,,,,,,,,,,,,,46.29994039261462,19.221461306029298,75.16320291510897,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1.0,0.0,0.0,936.0,12.0,43.0,3184.0,0.0,55.900000000000006,0.0,0.0,444.34876227378845,,,,,,,,,,,,,,,,,,,,,24.666881622551088,11.599468347050944,41.21710052148166,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1.0,0.0,0.0,1080.0,13.0,144.0,3328.0,0.0,225.29999999999993,0.0,0.0,459.7566854953766,,,,,,,,,,,,,,,,,,,,,64.06301133248533,22.47410689584172,89.59148189526296,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
